date,timestamp,price,market_caps,total_volumes
2025-08-24,1755993600000,115359.98346714744,2296786080139.701,27306719885.257973
2025-08-25,1756080000000,113399.54847314973,2259663171125.389,40682656776.69001
2025-08-26,1756166400000,110185.35443900424,2194453712375.598,52854872363.93656
2025-08-27,1756252800000,111842.70999260596,2227025695775.593,43023800053.0546
2025-08-28,1756339200000,111216.08479629167,2215255294289.9937,36957904262.99581
2025-08-29,1756425600000,112525.59740669793,2239422945686.892,34222495087.20689
2025-08-30,1756512000000,108480.30666639366,2160278651486.285,51702115726.38959
2025-08-31,1756598400000,108781.95727925688,2166165747945.181,27799981330.792213
2025-09-01,1756684800000,108253.36092385623,2155694976689.5984,26140904019.246822
2025-09-02,1756771200000,109162.68557992298,2174100506466.432,42999610648.39302
2025-09-03,1756857600000,111190.18209845416,2212595221503.454,50235464642.84596
2025-09-04,1756944000000,111711.51977725116,2225365905592.233,36406080683.42747
2025-09-05,1757030400000,110724.736377486,2204051936301.3257,38708366685.43147
2025-09-06,1757116800000,110662.18112628513,2204045604630.5625,56020470627.40665
2025-09-07,1757203200000,110209.1888247784,2195288669199.568,19340758702.07633
2025-09-08,1757289600000,111131.9923868407,2213764479139.3647,22147049159.335133
2025-09-09,1757376000000,112025.12878118773,2231763512226.867,37159847899.8603
2025-09-10,1757462400000,111547.43956434788,2222026777598.0474,45338021458.38368
2025-09-11,1757548800000,113975.32489468766,2270241314652.7144,52205187155.05567
2025-09-12,1757635200000,115503.16663193036,2299764311655.674,43752917632.95067
2025-09-13,1757721600000,116160.14344594492,2314347371939.946,51192951485.8644
2025-09-14,1757808000000,115970.58488443034,2310166037871.29,30063858747.76022
2025-09-15,1757894400000,115373.55555886828,2297459118244.424,26889399414.610912
2025-09-16,1757980800000,115397.25272727507,2297977599504.5527,46947581231.08198
2025-09-17,1758067200000,116762.8496864193,2325326932460.9644,39964451595.09973
2025-09-18,1758153600000,116455.9464822532,2321583680138.891,54740952295.37868
2025-09-19,1758240000000,117145.49508952006,2333705338232.097,43642467075.25838
2025-09-20,1758326400000,115655.81046441344,2303469041668.8,34296721252.33001
2025-09-21,1758412800000,115715.51536781774,2305371926506.302,18774953731.290398
2025-09-22,1758499200000,115304.47999407038,2297332085237.645,18659113982.495464
2025-09-23,1758585600000,112696.74101711863,2245929069310.853,69152342029.46799
2025-09-24,1758672000000,112022.16587861197,2232693472656.6514,46154878824.043465
2025-09-25,1758758400000,113320.56908541008,2257741194218.8286,46677543220.334526
2025-09-26,1758844800000,108963.53013595636,2171950311711.4429,74481796351.47305
2025-09-27,1758931200000,109710.20874667744,2185866776171.5464,55257214020.568245
2025-09-28,1759017600000,109654.81021075726,2185203231301.056,23294896964.31016
2025-09-29,1759104000000,112142.57362752674,2235798877396.134,31274654338.51212
2025-09-30,1759190400000,114309.15041119448,2278362523594.313,57833295882.65785
2025-10-01,1759276800000,114024.22783550054,2272137555069.4507,57718901820.70616
2025-10-02,1759363200000,118503.24451752484,2359569556068.08,69920179085.4708
2025-10-03,1759449600000,120611.71911591051,2399524207991.5527,71252850672.75252
2025-10-04,1759536000000,122250.15186842805,2436956902844.716,83155430408.51796
2025-10-05,1759622400000,122380.93708463266,2438832157552.7866,35161626561.80918
2025-10-06,1759708800000,123506.18520027678,2461221856764.1885,72011486031.26575
2025-10-07,1759795200000,124773.50823074432,2486073086655.2866,69605991064.72382
2025-10-08,1759881600000,121518.75593575073,2421938444026.2783,76087884719.80028
2025-10-09,1759968000000,123352.50487523204,2459003621170.118,62576032795.36722
2025-10-10,1760054400000,121698.03066778315,2423288659157.484,72097306668.91356
2025-10-11,1760140800000,113201.74064138904,2265659827789.992,151002213089.8765
2025-10-12,1760227200000,110853.11663883904,2211404015103.109,108643865752.17674
2025-10-13,1760313600000,115189.5714637257,2294724465036.9785,93857100744.12454
2025-10-14,1760400000000,115222.28302116522,2296863527017.9863,68935270367.04033
2025-10-15,1760486400000,113156.56943826911,2257545230986.014,91211854988.91518
2025-10-16,1760572800000,110708.66960879424,2207742082237.0483,68877328886.40259
2025-10-17,1760659200000,108076.72862033188,2154964541836.455,84773160808.27399
2025-10-18,1760745600000,106443.61194984637,2123017949517.1423,94325236794.78165
2025-10-19,1760832000000,107156.00337647724,2135575517405.9185,34412835719.61292
2025-10-20,1760918400000,108621.134857428,2165367850075.004,45373692612.3944
2025-10-21,1761004800000,110608.5714932665,2205571381112.93,60452111148.14008
2025-10-22,1761091200000,108486.1026271664,2162410619417.9116,105841401713.00195
2025-10-23,1761177600000,107618.4266715404,2145773248654.6448,83996418125.93103
2025-10-24,1761264000000,110048.51827291628,2193901841033.9053,56192643013.57058
2025-10-25,1761350400000,110997.80437129698,2213306367536.756,49120903424.344864
2025-10-26,1761436800000,111620.3093731354,2224861052775.001,23214874411.21217
2025-10-27,1761523200000,114476.01227508576,2283691326423.212,42483268634.18711
2025-10-28,1761609600000,114182.79442806762,2276235094681.6714,63764801510.65889
2025-10-29,1761696000000,112950.34863259472,2254003248725.492,66299512352.17796
2025-10-30,1761782400000,110046.66925837284,2194746293754.542,64235327509.05742
2025-10-31,1761868800000,108240.76528725718,2157803742876.0747,72648897659.94229
2025-11-01,1761955200000,109573.90555629117,2185193896779.3408,58800487940.5146
2025-11-02,1762041600000,110014.13556776088,2194075979770.0625,24938475577.84992
2025-11-03,1762128000000,110650.2092823146,2201849942058.28,35098774843.7742
2025-11-04,1762214400000,106521.0867382576,2123664079961.7024,75068433317.86293
2025-11-05,1762300800000,101635.2740227234,2026091188341.184,108965721650.60307
2025-11-06,1762387200000,103877.9596595516,2073000557933.8025,77083907216.62631
2025-11-07,1762473600000,101322.6402945857,2019147576692.263,64118217249.57436
2025-11-08,1762560000000,103396.084215925,2063021740892.1372,93627003785.31018
2025-11-09,1762646400000,102290.13714655169,2039995976869.1487,51095924202.31797
2025-11-10,1762732800000,104709.67861656273,2086419359800.0503,59952468437.71812
2025-11-11,1762819200000,105909.07272321742,2112747067951.9028,67546556819.52642
2025-11-12,1762905600000,102960.77564500563,2053215927640.825,71008299178.73956
2025-11-13,1762992000000,101521.70859453591,2025837265459.757,63332414142.58827
2025-11-14,1763078400000,99730.4533956204,1996168972711.9963,100463341916.4732
2025-11-15,1763164800000,94456.39368235336,1891799949910.112,113198323665.38872
2025-11-16,1763251200000,95508.31019889197,1905234340631.9912,39062120798.23745
2025-11-17,1763337600000,94411.32947182968,1883240679702.743,72645149972.7847
2025-11-18,1763424000000,92036.7255045672,1835458818945.896,95794596045.06412
2025-11-19,1763510400000,92819.759215009,1851234710246.605,103837258806.01602
2025-11-20,1763596800000,91363.27838693369,1820062799702.324,82897875507.45229
2025-11-21,1763683200000,86649.97257918229,1731258563683.129,99171039191.1295
2025-11-22,1763769600000,85051.8019295002,1697723941246.048,135093457122.46468
2025-11-23,1763856000000,84682.62429147748,1690556523055.809,42644968955.2184
2025-11-24,1763942400000,86783.84766839583,1732233225777.4016,60446592409.29218
2025-11-25,1764028800000,88229.35740719768,1761564072532.238,77606296173.43544
2025-11-26,1764115200000,87310.33159950442,1742162762885.542,67956444142.18749
2025-11-27,1764201600000,90474.22677969698,1806439309544.997,69690430587.90018
2025-11-28,1764288000000,91279.06057176425,1821778517479.9224,59295194347.668594
2025-11-29,1764374400000,90950.37695910994,1814919896425.408,62833195066.53989
2025-11-30,1764460800000,90841.45258193676,1812771321410.944,39253888201.69327
2025-12-01,1764547200000,90406.28448571144,1807818977105.3909,40334819409.84348
2025-12-02,1764633600000,86281.49519776918,1723547230444.7913,92988982967.24596
